Instance,Algorithm,P1_Name,P1_Val,P2_Name,P2_Val,BestCost,Evaluations,TimeMicros
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,10,21530,46892,6990
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,4,16292,58862,9273
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,2,23394,47652,7248
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,10,19742,185592,28985
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,4,20552,113164,17818
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,2,16364,84436,12728
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,10,16292,197714,30517
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,4,21744,164616,24764
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,2,14812,212648,32499
data\chr20c.dat,SA,Alpha,0.8,L_Factor,2,23158,13300,1740
data\chr20c.dat,SA,Alpha,0.8,L_Factor,5,15792,39900,5538
data\chr20c.dat,SA,Alpha,0.8,L_Factor,8,19382,53200,6981
data\chr20c.dat,SA,Alpha,0.85,L_Factor,2,17558,17860,2360
data\chr20c.dat,SA,Alpha,0.85,L_Factor,5,17164,47500,6504
data\chr20c.dat,SA,Alpha,0.85,L_Factor,8,21312,60800,7982
data\chr20c.dat,SA,Alpha,0.9,L_Factor,2,23244,25080,3287
data\chr20c.dat,SA,Alpha,0.9,L_Factor,5,15106,69350,9342
data\chr20c.dat,SA,Alpha,0.9,L_Factor,8,16434,80560,10700
data\chr20c.dat,SA,Alpha,0.95,L_Factor,2,22900,36480,5002
data\chr20c.dat,SA,Alpha,0.95,L_Factor,5,15146,94050,12951
data\chr20c.dat,SA,Alpha,0.95,L_Factor,8,17944,194560,26077
data\chr20c.dat,SA,Alpha,0.99,L_Factor,2,16206,177080,24009
data\chr20c.dat,SA,Alpha,0.99,L_Factor,5,16248,425600,57336
data\chr20c.dat,SA,Alpha,0.99,L_Factor,8,17800,680960,91679
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,10,18480,16720,3363
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,4,18668,10792,1615
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,2,18604,26980,4031
