Instance, OptCost, Algorithm, Run, BestCost, Steps, Evaluations, TimeMicros
data\nug12.dat,578,RandomWalk,1,660,168,168,48
data\nug12.dat,578,Heuristic,2,824,0,0,2
data\nug12.dat,578,Greedy,2,616,8,228,24
data\nug12.dat,578,Steepest,2,590,9,660,52
data\nug12.dat,578,RandomSearch,2,680,4,40,38
data\nug12.dat,578,RandomWalk,2,710,133,133,38
data\nug12.dat,578,Heuristic,3,854,0,0,1
data\nug12.dat,578,Greedy,3,630,6,117,12
data\nug12.dat,578,Steepest,3,610,3,264,22
data\nug12.dat,578,RandomSearch,3,722,2,18,17
data\nug12.dat,578,RandomWalk,3,720,61,61,17
data\nug12.dat,578,Heuristic,4,816,0,0,1
data\nug12.dat,578,Greedy,4,600,10,180,19
data\nug12.dat,578,Steepest,4,630,5,396,33
data\nug12.dat,578,RandomSearch,4,762,3,27,26
data\nug12.dat,578,RandomWalk,4,678,96,96,26
data\nug12.dat,578,Heuristic,5,808,0,0,1
data\nug12.dat,578,Greedy,5,620,12,172,18
data\nug12.dat,578,Steepest,5,602,5,396,31
data\nug12.dat,578,RandomSearch,5,732,3,25,24
data\nug12.dat,578,RandomWalk,5,678,86,86,24
data\nug12.dat,578,Heuristic,6,830,0,0,1
data\nug12.dat,578,Greedy,6,606,14,148,16
data\nug12.dat,578,Steepest,6,628,4,330,27
data\nug12.dat,578,RandomSearch,6,674,3,22,21
data\nug12.dat,578,RandomWalk,6,700,73,73,21
data\nug12.dat,578,Heuristic,7,866,0,0,1
data\nug12.dat,578,Greedy,7,612,9,282,28
data\nug12.dat,578,Steepest,7,582,7,528,42
data\nug12.dat,578,RandomSearch,7,738,3,38,36
data\nug12.dat,578,RandomWalk,7,676,125,125,35
data\nug12.dat,578,Heuristic,8,828,0,0,1
data\nug12.dat,578,Greedy,8,634,13,120,13
data\nug12.dat,578,Steepest,8,594,7,528,44
data\nug12.dat,578,RandomSearch,8,738,3,30,28
data\nug12.dat,578,RandomWalk,8,680,101,101,28
data\nug12.dat,578,Heuristic,9,820,0,0,1
data\nug12.dat,578,Greedy,9,640,7,140,15
data\nug12.dat,578,Steepest,9,600,4,330,26
data\nug12.dat,578,RandomSearch,9,740,2,22,20
data\nug12.dat,578,RandomWalk,9,672,73,73,20
data\nug12.dat,578,Heuristic,10,818,0,0,1
data\nug12.dat,578,Greedy,10,590,23,294,32
data\nug12.dat,578,Steepest,10,620,4,330,29
data\nug12.dat,578,RandomSearch,10,718,3,32,31
data\nug12.dat,578,RandomWalk,10,708,98,98,30
data\nug20.dat,2570,Heuristic,1,3404,0,0,5
data\nug20.dat,2570,Greedy,1,2772,32,1055,181
data\nug20.dat,2570,Steepest,1,2692,10,2090,266
data\nug20.dat,2570,RandomSearch,1,3090,3,102,225
data\nug20.dat,2570,RandomWalk,1,3020,662,662,223
data\nug20.dat,2570,Heuristic,2,3498,0,0,4
data\nug20.dat,2570,Greedy,2,2714,24,791,116
data\nug20.dat,2570,Steepest,2,2700,8,1710,349
data\nug20.dat,2570,RandomSearch,2,3102,0,115,232
data\nug20.dat,2570,RandomWalk,2,3080,701,701,232
data\nug20.dat,2570,Heuristic,3,3270,0,0,4
data\nug20.dat,2570,Greedy,3,2784,25,628,95
data\nug20.dat,2570,Steepest,3,2654,11,2280,297
data\nug20.dat,2570,RandomSearch,3,3136,3,106,196
data\nug20.dat,2570,RandomWalk,3,3102,562,562,196
data\nug20.dat,2570,Heuristic,4,3104,0,0,3
data\nug20.dat,2570,Greedy,4,2702,28,603,88
data\nug20.dat,2570,Steepest,4,2654,14,2850,339
data\nug20.dat,2570,RandomSearch,4,3112,5,115,213
data\nug20.dat,2570,RandomWalk,4,3150,645,645,213
data\nug20.dat,2570,Heuristic,5,3294,0,0,3
data\nug20.dat,2570,Greedy,5,2656,19,710,102
data\nug20.dat,2570,Steepest,5,2682,6,1330,170
data\nug20.dat,2570,RandomSearch,5,3164,4,74,136
data\nug20.dat,2570,RandomWalk,5,3088,418,418,136
data\nug20.dat,2570,Heuristic,6,3596,0,0,3
data\nug20.dat,2570,Greedy,6,2730,28,733,104
data\nug20.dat,2570,Steepest,6,2626,15,3040,353
data\nug20.dat,2570,RandomSearch,6,3120,6,126,228
data\nug20.dat,2570,RandomWalk,6,3032,697,697,228
data\nug20.dat,2570,Heuristic,7,3544,0,0,2
data\nug20.dat,2570,Greedy,7,2702,45,1156,163
data\nug20.dat,2570,Steepest,7,2658,16,3230,387
data\nug20.dat,2570,RandomSearch,7,3060,5,150,276
data\nug20.dat,2570,RandomWalk,7,3058,846,846,275
data\nug20.dat,2570,Heuristic,8,3462,0,0,3
data\nug20.dat,2570,Greedy,8,2674,38,1137,162
data\nug20.dat,2570,Steepest,8,2648,14,2850,336
data\nug20.dat,2570,RandomSearch,8,3110,3,136,249
data\nug20.dat,2570,RandomWalk,8,3086,766,766,249
data\nug20.dat,2570,Heuristic,9,3602,0,0,3
data\nug20.dat,2570,Greedy,9,2654,23,709,102
data\nug20.dat,2570,Steepest,9,2686,12,2470,299
data\nug20.dat,2570,RandomSearch,9,3062,5,109,201
data\nug20.dat,2570,RandomWalk,9,3034,610,610,200
data\nug20.dat,2570,Heuristic,10,3468,0,0,2
data\nug20.dat,2570,Greedy,10,2632,31,943,134
data\nug20.dat,2570,Steepest,10,2762,8,1710,211
data\nug20.dat,2570,RandomSearch,10,3074,4,94,173
data\nug20.dat,2570,RandomWalk,10,3100,515,515,176
data\nug30.dat,6124,Heuristic,1,8212,0,0,10
data\nug30.dat,6124,Greedy,1,6282,63,4782,1064
data\nug30.dat,6124,Steepest,1,6312,24,10875,2023
data\nug30.dat,6124,RandomSearch,1,7456,4,486,1545
data\nug30.dat,6124,RandomWalk,1,7444,4523,4523,1543
data\nug30.dat,6124,Heuristic,2,8430,0,0,7
data\nug30.dat,6124,Greedy,2,6332,53,3303,640
data\nug30.dat,6124,Steepest,2,6462,23,10440,2059
data\nug30.dat,6124,RandomSearch,2,7456,6,346,1351
data\nug30.dat,6124,RandomWalk,2,7204,3785,3785,1349
data\nug30.dat,6124,Heuristic,3,8020,0,0,14
data\nug30.dat,6124,Greedy,3,6500,54,3505,1052
data\nug30.dat,6124,Steepest,3,6318,26,11745,3409
data\nug30.dat,6124,RandomSearch,3,7458,5,419,2236
data\nug30.dat,6124,RandomWalk,3,7544,3805,3805,2231
data\nug30.dat,6124,Heuristic,4,7938,0,0,12
data\nug30.dat,6124,Greedy,4,6478,54,2684,782
data\nug30.dat,6124,Steepest,4,6436,23,10440,2060
data\nug30.dat,6124,RandomSearch,4,7470,8,448,1424
data\nug30.dat,6124,RandomWalk,4,7480,3982,3982,1421
data\nug30.dat,6124,Heuristic,5,8080,0,0,9
data\nug30.dat,6124,Greedy,5,6384,50,2132,418
data\nug30.dat,6124,Steepest,5,6350,23,10440,2458
data\nug30.dat,6124,RandomSearch,5,7562,3,449,1441
data\nug30.dat,6124,RandomWalk,5,7388,4171,4171,1438
data\nug30.dat,6124,Heuristic,6,8144,0,0,11
data\nug30.dat,6124,Greedy,6,6484,52,2994,728
data\nug30.dat,6124,Steepest,6,6390,28,12615,4811
data\nug30.dat,6124,RandomSearch,6,7460,2,597,2772
data\nug30.dat,6124,RandomWalk,6,7202,7545,7545,2770
data\nug30.dat,6124,Heuristic,7,7942,0,0,9
data\nug30.dat,6124,Greedy,7,6472,50,2363,589
data\nug30.dat,6124,Steepest,7,6502,16,7395,1422
data\nug30.dat,6124,RandomSearch,7,7430,8,311,1005
data\nug30.dat,6124,RandomWalk,7,7422,2782,2782,1006
data\nug30.dat,6124,Heuristic,8,8126,0,0,8
data\nug30.dat,6124,Greedy,8,6366,65,2186,422
data\nug30.dat,6124,Steepest,8,6364,28,12615,2353
data\nug30.dat,6124,RandomSearch,8,7618,2,433,1390
data\nug30.dat,6124,RandomWalk,8,7362,3772,3772,1387
data\nug30.dat,6124,Heuristic,9,7990,0,0,8
data\nug30.dat,6124,Greedy,9,6386,49,3119,641
data\nug30.dat,6124,Steepest,9,6342,24,10875,2379
data\nug30.dat,6124,RandomSearch,9,7408,4,473,1511
data\nug30.dat,6124,RandomWalk,9,7506,4477,4477,1510
data\nug30.dat,6124,Heuristic,10,8186,0,0,9
data\nug30.dat,6124,Greedy,10,6340,65,3283,625
data\nug30.dat,6124,Steepest,10,6386,20,9135,1732
data\nug30.dat,6124,RandomSearch,10,7490,7,364,1180
data\nug30.dat,6124,RandomWalk,10,7436,3457,3457,1178
data\tai17a.dat,491812,Heuristic,1,636112,0,0,4
data\tai17a.dat,491812,Greedy,1,518420,26,860,124
data\tai17a.dat,491812,Steepest,1,529758,7,1088,121
data\tai17a.dat,491812,RandomSearch,1,585160,3,80,123
data\tai17a.dat,491812,RandomWalk,1,577778,303,303,122
data\tai17a.dat,491812,Heuristic,2,643310,0,0,7
data\tai17a.dat,491812,Greedy,2,517108,26,657,144
data\tai17a.dat,491812,Steepest,2,509180,10,1496,202
data\tai17a.dat,491812,RandomSearch,2,580434,7,101,175
data\tai17a.dat,491812,RandomWalk,2,575108,513,513,173
data\tai17a.dat,491812,Heuristic,3,641872,0,0,4
data\tai17a.dat,491812,Greedy,3,530726,17,275,58
data\tai17a.dat,491812,Steepest,3,496906,16,2312,357
data\tai17a.dat,491812,RandomSearch,3,582404,3,127,207
data\tai17a.dat,491812,RandomWalk,3,551570,578,578,207
data\tai17a.dat,491812,Heuristic,4,622236,0,0,3
data\tai17a.dat,491812,Greedy,4,522412,15,428,63
data\tai17a.dat,491812,Steepest,4,517884,8,1224,169
data\tai17a.dat,491812,RandomSearch,4,581126,7,76,116
data\tai17a.dat,491812,RandomWalk,4,578266,351,351,116
data\tai17a.dat,491812,Heuristic,5,640758,0,0,3
data\tai17a.dat,491812,Greedy,5,516836,11,318,47
data\tai17a.dat,491812,Steepest,5,510642,10,1496,199
data\tai17a.dat,491812,RandomSearch,5,580528,2,79,124
data\tai17a.dat,491812,RandomWalk,5,568358,307,307,123
data\tai17a.dat,491812,Heuristic,6,658504,0,0,3
data\tai17a.dat,491812,Greedy,6,515934,19,446,110
data\tai17a.dat,491812,Steepest,6,506538,11,1632,226
data\tai17a.dat,491812,RandomSearch,6,583642,3,115,169
data\tai17a.dat,491812,RandomWalk,6,567150,424,424,168
data\tai17a.dat,491812,Heuristic,7,634750,0,0,4
data\tai17a.dat,491812,Greedy,7,517878,21,725,95
data\tai17a.dat,491812,Steepest,7,513700,7,1088,164
data\tai17a.dat,491812,RandomSearch,7,582214,5,89,129
data\tai17a.dat,491812,RandomWalk,7,586902,311,311,129
data\tai17a.dat,491812,Heuristic,8,636822,0,0,5
data\tai17a.dat,491812,Greedy,8,525038,20,584,209
data\tai17a.dat,491812,Steepest,8,517252,9,1360,214
data\tai17a.dat,491812,RandomSearch,8,583008,9,106,211
data\tai17a.dat,491812,RandomWalk,8,567330,592,592,211
data\tai17a.dat,491812,Heuristic,9,630378,0,0,5
data\tai17a.dat,491812,Greedy,9,536526,13,376,65
data\tai17a.dat,491812,Steepest,9,518346,8,1224,152
data\tai17a.dat,491812,RandomSearch,9,585282,6,71,108
data\tai17a.dat,491812,RandomWalk,9,586280,282,282,108
data\tai17a.dat,491812,Heuristic,10,649714,0,0,4
data\tai17a.dat,491812,Greedy,10,516554,20,318,75
data\tai17a.dat,491812,Steepest,10,512252,10,1496,208
data\tai17a.dat,491812,RandomSearch,10,576742,2,87,141
data\tai17a.dat,491812,RandomWalk,10,572942,397,397,141
data\tai50a.dat,4938796,Heuristic,1,5784046,0,0,19
data\tai50a.dat,4938796,Greedy,1,5154234,90,13754,4150
data\tai50a.dat,4938796,Steepest,1,5200784,25,31850,10593
data\tai50a.dat,4938796,RandomSearch,1,5744696,6,837,7377
data\tai50a.dat,4938796,RandomWalk,1,5642864,14001,14001,7371
data\tai50a.dat,4938796,Heuristic,2,5829750,0,0,15
data\tai50a.dat,4938796,Greedy,2,5168692,95,10183,2648
data\tai50a.dat,4938796,Steepest,2,5192652,32,40425,12611
data\tai50a.dat,4938796,RandomSearch,2,5730926,5,934,7634
data\tai50a.dat,4938796,RandomWalk,2,5670576,16836,16836,7629
data\tai50a.dat,4938796,Heuristic,3,5879132,0,0,27
data\tai50a.dat,4938796,Greedy,3,5193800,78,8547,2395
data\tai50a.dat,4938796,Steepest,3,5243504,22,28175,8135
data\tai50a.dat,4938796,RandomSearch,3,5736284,9,737,5267
